sample,H3N3,H3N3F1,H3N4,H3N4F1,H3N5,H3N5F1,H4N2,H4N3,H4N3S1,H4N3F1,H4N3F1S1,H4N4,H4N4S1,H4N4F1,H4N4F1S1,H4N5,H4N5S1,H4N5F1,H4N5F1S1,H5N2,H5N3,H5N3S1,H5N3F1S1,H5N4,H5N4S1,H5N4S2,H5N4F1,H5N4F1S1,H5N4F1S2,H5N4F2,H5N4F2S1,H5N5,H5N5S1,H5N5S2,H5N5F1,H5N5F1S1,H5N5F1S2,H6N2,H6N3,H6N3S1,H6N3F1S1,H6N4S1,H6N4S2,H6N5,H6N5S1,H6N5S2,H6N5S3,H6N5F1S1,H6N5F1S2,H6N5F1S3,H6N5F2S3,H6N6F1S1,H6N6F1S2,H7N2,H7N6S1,H7N6S2,H7N6S3,H7N6S4,H7N6F1S2,H7N6F1S3,H7N6F1S4,H8N2,H9N2
S140,0.001131678965880226,5.455008547359344e-4,3.683072429471337e-4,0.004329170356739591,8.310902681753494e-4,0.0010247639668340637,3.147002865759099e-4,0.001216220602314628,0.007644243810026084,7.064987144795737e-4,2.106159098996373e-4,0.001610187388505743,0.004848885176088806,0.01385670572703232,0.00222878471094101,0.001460116764551104,0.0023712301645522843,0.003513753745894573,0.002875390046534028,0.00448845067046159,9.789404822775555e-4,0.00211606432698784,0.0011481820218790057,0.005748590638423611,0.06982396529524901,0.48192683189171304,0.015070819209968321,0.035576814108713974,0.04315632652049955,5.153655311755914e-4,0.001166897085745975,0.0020135494534678946,0.013222599293533852,0.0035224805659149604,0.004862444318435748,0.024520566541867125,0.018844056018974608,0.007819883571580604,7.300342078800915e-4,0.0024908088387988222,6.224196840825073e-4,7.879786255167063e-5,8.730934764576124e-4,8.558265369192478e-4,0.00905979639013556,0.02165052146172523,0.11104804605983962,0.0030527273756881987,0.00560927707710671,0.03223477748445445,0.001190155077990665,6.230296581425894e-4,5.251152779405953e-4,0.003013765510360133,6.39102970271808e-4,0.004747806590356985,0.005186355209942964,0.005377313668897254,0.0010523663334702817,0.0013390956970756223,0.0017468837940314418,0.005746443217486644,0.006164583430842355
S142,9.990497078013333e-4,9.706538706601538e-4,6.849247769150979e-4,0.010479185758439069,0.00111184639996975,0.002861126503307636,2.0497220431574454e-4,0.0012112582206168295,0.006140940064529003,9.037417482281875e-4,1.6866013433972766e-4,0.0030394907160029767,0.0038796894346036924,0.03423446009075984,0.004375837350314946,0.0027983115170797115,0.003069344182978915,0.008114128367511483,1.5000630837892477e-4,0.0029009881207948006,8.58803575472333e-4,0.0022327136607149314,8.987032558832134e-4,0.008083521275890371,0.07439278933708023,0.4257271250998162,0.0382034809411087,0.05149573182595708,0.05876396425304342,9.486013976044678e-4,0.0013950817385386316,0.0031536702523352286,0.01708774006122987,0.0029619815972241883,0.00812879004406039,0.027128662127281985,0.02747313811023357,0.005647526356925021,6.602006140748212e-4,0.0023269777206206786,0.0013186675854556943,0.0019833944596208985,0.002148305068929026,8.84015263331992e-4,0.005515808786416009,0.008608397131906396,0.036954667327193366,0.004542861818513913,0.010251874404316585,0.059506298063457495,0.00298316302691411,6.92664974039558e-4,9.003272265919131e-4,0.002361650660904396,8.75807549786193e-4,0.001382078809989689,0.0011741364320301344,0.001189500098254199,0.0018429431668006155,0.0020963261340366363,0.002356255035133924,0.0056093166446117915,0.007515668736622783
S145,0.0010143595017709963,0.0013143452831449898,0.001031053136369214,0.026107906487691054,0.001954624561266827,0.005250982864718375,2.547672815506384e-4,0.0012824544473832749,0.006395192967558688,0.0010047677989454622,1.8877742258942892e-4,0.004033805723066018,0.006299683695166771,0.061070188454759845,0.007415068267341872,0.004152792738684123,0.004920332683006623,0.01460913658529908,1.7132574321502476e-4,0.004573556333943462,7.403911678163596e-4,0.0036447124642544834,0.001054201463692023,0.008600320863488697,0.07878492098472173,0.4407803260102238,0.04468083969995862,0.041313257693863605,0.04489660275485037,9.864911798408026e-4,0.001224975461161557,0.003309957991058109,0.01797346691828851,0.0025750061653870234,0.009188796833893308,0.022922583583382675,0.02932034246286098,0.005521056126674695,7.850804597134076e-4,0.0046583442271766855,0.0011293015754526767,6.791775251427915e-5,0.00158898891039153,7.966424196227537e-4,0.0045648147778435825,0.007649480028950596,0.03746188247200694,0.0025055650711804985,0.0040565810664358075,0.020220961518745258,8.253268339732969e-4,6.062608562776833e-4,4.528710151166291e-4,0.0032229521779417783,9.674651469054354e-4,9.5257623745182e-4,0.0013056906005158686,0.0018359699949902727,5.189882727196038e-4,6.945281243518365e-4,0.0011482600793303224,0.006577917848154807,0.007531639673640254
S146,7.692624546297277e-4,7.765654496657286e-4,0.001288438396498355,0.023448264153301344,0.0020459862061737795,0.0036154864003318165,1.7131520223892492e-4,6.947717347172015e-4,0.0043162618269904935,6.483639724223855e-4,0.0023276816961340925,0.0031386855925555823,0.004204119180919551,0.03783313287643313,0.006312235585060755,0.0030021934192233433,0.004698611723453197,0.007792179936896111,0.006617985423486248,0.00303786565279431,6.515654805530193e-4,0.0025302977417310307,7.150704110589482e-4,0.004028706117746372,0.061916679679788304,0.3448604539477634,0.017578672008857578,0.049196669285767484,0.07248977657737746,5.258846862730349e-5,6.557116533782108e-5,0.0018029312770845643,0.012704051893922498,0.0037119788864712774,0.004505514018902279,0.02648085409474986,0.03508470049677093,0.006098931099138441,4.0812102079555083e-4,0.002209593772503281,4.2698867700050085e-4,0.001916409661230194,0.0033167902545585917,5.985149744990909e-4,0.004264698194821485,0.011466378698842473,0.06888696683835896,0.0033408614962283987,0.01013466918478637,0.07892034929349832,0.005530021690266672,6.300668948432268e-4,0.0014044307986738121,0.0031644585879559983,3.00017545564094e-4,0.0016518181050815105,0.002409721063882969,0.004914935097919715,0.0014099520553409624,0.002452140080046365,0.00599619393564954,0.006128396783090858,0.0063978876817192415
S147,9.529212265067296e-4,8.683606490806548e-4,9.468126944829056e-4,0.02385931138787938,0.0012934694991176136,0.007512309096559428,2.0054392524201253e-4,9.515889251751941e-4,0.006209895687665541,7.632296900129013e-4,1.6676221246382842e-4,0.0029367940603538074,0.004623706530602857,0.04235101037139002,0.002936028782939169,0.0026673720322481203,0.00180720445641487,0.012632138112517123,0.0052685085069542415,0.00369901960253756,6.418192596535159e-4,0.001959910355771436,7.941011032344922e-4,0.005395947333329012,0.0658350030978369,0.49468788728369306,0.023175939077669492,0.03489844396109373,0.03712296394648528,4.3912251095265065e-4,9.48657001064826e-4,0.0023179797905461537,0.009465081143462353,0.002046346957777786,0.007511716217082961,0.023395442371126562,0.01307259683378687,0.0062830522700874905,6.218636394991903e-4,0.0019247285560555433,5.84603951754406e-4,5.7396498550571036e-5,0.0010280181697764359,5.663044084604212e-4,0.005265583934911799,0.011246896369631795,0.06708196050800935,0.0027717089537485167,0.004855280488513111,0.03410853684735176,0.001148798521438831,2.3864856413746184e-4,5.234800773377134e-4,0.0028357513446738876,5.1304686338922967e-5,0.0014333849309062876,0.002028438570305158,0.0031082921100779332,7.773462958987736e-4,0.0011060115740492691,0.0020255802869925156,0.006052033366753614,0.007428159079401566
S150,9.88651192312165e-4,7.980199322852873e-4,8.394637373600986e-4,0.014319301384563048,0.00118033966346386,0.0032508422895455753,1.383333012441615e-4,9.198072224453356e-4,0.0060323231038858114,6.947766119664749e-4,1.3757218789009238e-4,0.0028529788526867597,0.00427757993333409,0.033079259904564694,0.005803963305244353,0.0026880241465538804,0.003372241668017821,0.008899054288065525,0.004777249783685947,0.002241947030802835,3.77834501628119e-4,0.002188493821163219,0.0010092607648206336,0.005862079867592732,0.0647019285649303,0.4224765939242526,0.020718024620476148,0.034513911474378725,0.05293906502677362,4.1964680740238586e-4,8.472867625301155e-4,0.0022725246357056094,0.017011540208500004,0.0049809220961939855,0.00677577967043721,0.03321953641232081,0.03289384229710574,0.0035549476213938155,4.2914920537610337e-4,0.0021786712427629084,9.938500856052433e-4,0.0017161408628727098,0.0018478661307021105,8.744513662308802e-4,0.008609724929697754,0.01727122222525017,0.08624082286564104,0.0037603313825277204,0.006977310550595588,0.04072548669592339,0.0015622698269727663,6.497470532853305e-4,6.500405713957904e-4,0.0016551915235424395,4.638353242473097e-4,0.003676828424674986,0.0041878221293143395,0.004617906219495808,0.0013033395675638047,0.0017751649683930136,0.002487848885719494,0.003718463265178567,0.005999831292340929
S151,9.951254467470312e-4,6.224524961148728e-4,5.220880707013653e-4,0.007922010710578272,0.001139849816093571,0.0017688854546968511,1.9883344792747057e-4,0.0010570331915581458,0.006630078276614288,6.320238666123278e-4,1.6602371735889416e-4,0.002304397340288588,0.0051811879292391755,0.023563485213473203,0.004598216998538568,0.0020512401972001874,0.0034043939390292306,0.004841471429968967,0.00375217278536396,0.0033263260334958178,4.6729015676479795e-4,0.003646674033188737,9.665837715934318e-4,0.006438920440946068,0.08404209028808837,0.4526865292647502,0.02071112815748175,0.041885014008454714,0.06057427874767312,6.385098003743818e-4,0.0011612391242151196,0.001905099032381194,0.013400340098210818,0.003274129283184202,0.004300294284219273,0.015832441559131563,0.026122114448283423,0.004596795147829648,6.609307393530496e-4,0.004411171904130224,6.498918872910177e-4,0.001866822047959964,0.0022582529083488467,0.001046881747816079,0.0067146774850327965,0.01162645227372156,0.05209415429805358,0.004078513722670745,0.009913691736601324,0.05724513720925454,0.0030113267061662196,5.979708612337695e-4,9.987596081342202e-4,0.0018908561829586573,0.0011244341834154375,0.0023371302037136273,0.0024744670100363855,0.003267938198977288,0.0021311880601458904,0.0026475476433193822,0.00405433746759939,0.00458318335855337,0.009167758001277832
S160,1.418173970614697e-4,6.212410930757487e-4,4.374603814384025e-4,0.008067130852749281,5.440967204926809e-4,0.0020689925511637587,2.76796705036969e-4,9.840006080262089e-4,0.007125036191938695,6.911141842784251e-4,0.0015854516810821899,0.0017223741515831502,0.004042703486354442,0.021004552473239166,0.002812191569523322,0.0013936612253253851,0.002367200924989128,0.005583729538231484,1.7176372871135635e-4,0.0035667539589107696,6.674419370273879e-4,0.0018404437974760151,8.922360487449292e-4,0.00427725177131035,0.07129275239551135,0.49868819271843307,0.019302733735543035,0.033703894809390664,0.04430407220804275,7.126022786009623e-4,0.0012963768908782773,0.0016745690598423833,0.011605397298344968,0.0025724768596138885,0.0048500903737566745,0.023616578061009624,0.02031235142877475,0.007283862065202631,5.489033377222558e-4,0.0019254549431003617,6.920839729331003e-4,6.811763389918031e-5,0.0015893041072615691,1.1047681772097792e-4,0.006891407975966752,0.018499022240150594,0.10956470821356523,0.002997132300296347,0.0030499475604310647,0.014064047531092926,4.0410066276604534e-4,4.2571857665287547e-4,2.7510563795854086e-4,0.0036306012567406207,4.2596316123758005e-4,0.003266744165481743,0.003951965194255713,0.005038321651015642,5.862098611774497e-4,5.594405117176163e-4,7.32966550474092e-4,0.007776176111619385,0.01047577824774218
S163,9.600179131606291e-4,6.942013883201714e-4,6.889875269503686e-4,0.008840637655215854,6.680738889630615e-4,0.002359877658020232,1.773951398882159e-4,9.159513694245726e-4,0.007590576635074292,7.219438963869799e-4,1.564939275428349e-4,0.003233045715236552,0.00521381624795568,0.026078415921393264,0.0034689192356867397,0.0016029630949140807,0.0013783635104313693,0.005576804043400184,1.373295482601696e-4,0.0026949721615305306,5.671546245368361e-4,0.002402871918874103,6.325325454296533e-4,0.006379476648499872,0.07704596891725113,0.5109047788283242,0.024013988898777674,0.039219895702924855,0.04956915120464359,3.6757738035686147e-4,9.942157665060434e-4,0.0016035616813166575,0.00873310405947653,0.0032561009281687103,0.0036541498693193277,0.016479105399835308,0.015584370506427551,0.005442083308238265,5.671283761845972e-4,0.003303185747829268,3.455683518256061e-4,0.0014987475892813324,0.0013108702631837513,8.275561845702165e-4,0.005526983219409009,0.01479025437322448,0.08877338795180961,0.0025061693931629,0.003688405612935389,0.02178476588331886,6.739566888426252e-4,2.647908351160087e-4,2.8092642542586194e-4,0.002080911621788394,2.644283943954559e-4,0.0018816838465598546,0.0025042688209024775,0.0037252082368529537,4.6748898280655305e-4,6.268783196603004e-4,9.518120760541947e-4,0.004477431125183028,0.006462852523783031
S167,0.0010198259650242537,0.001541015613678251,0.001971370391312275,0.04260945671646005,0.00384278295620293,0.0088010738093311,2.263555317062233e-4,0.0010872059027562885,0.004896517926235796,0.0010265240630949431,0.0022348186546443096,0.006017661598532543,0.005200602983390383,0.058741597355818395,0.008897177717005872,0.005104105788810762,0.005023842639626366,0.015078213942775791,0.008362072280552177,0.0045506343264710885,7.895295220678115e-4,0.0044770605192176564,9.712299927581307e-4,0.009864270293160836,0.0693315192002802,0.3220113533195217,0.03257195282932164,0.05781918932165441,0.07166346679862817,7.118232974905855e-4,9.429778899383759e-4,0.0033554468076839117,0.016243138822916028,0.0042703109076610984,0.00991058829512805,0.03379702522894135,0.0421521120694837,0.005596509111251454,8.17787045881098e-4,0.004600118006115627,0.0014455831306392007,0.002085246681587779,0.00301284754304556,8.121244934611007e-4,0.005430729534034538,0.008313650213130535,0.027827089386651092,0.00454700655636081,0.00921257914586224,0.045279148759255955,0.002769406270698364,6.312627126907574e-4,8.424518343587719e-4,0.002560957949167755,8.357078041702954e-4,0.0015671412718888385,0.001359313481830812,0.0016182398975845226,0.0019285812785382532,0.0021854560873014574,0.0026355529340892224,0.005271852930080294,0.004572017422469127
S172,7.128167330963914e-4,4.7898704485789523e-4,0.0013075124671336922,0.020010463776295933,0.0026265652144611897,0.003698693479702366,1.3417046140984907e-4,7.821142069734868e-4,0.004318417463991361,4.118217515310752e-4,0.0013629635696941215,0.0035476711609946088,0.004479007541698147,0.0320530830748468,0.004072073446789372,0.0034532375893992634,0.005496306215032949,0.007316712696859446,0.0058509945938599464,0.0031200341294683447,6.063294893957422e-4,0.0020020921663214857,0.0013143160645139086,0.005745734182803811,0.08667614962446145,0.46679424805455344,0.01136086563549147,0.02509550100266997,0.04566870734994002,4.350944936229508e-4,5.608515043376509e-5,0.0024331486546332122,0.014676323090880692,0.003001958909164181,0.004087860184382808,0.020658852234734876,0.027582957013970955,0.0068967654892293055,5.216687964029835e-4,0.002524161391867094,0.0011286548382161605,0.0017479432355330335,0.0018594617297229966,9.128092751174119e-4,0.005513074068402588,0.012189165466424278,0.07440763906444244,0.002473692305759532,0.005257637681860576,0.038566283714396465,0.0013633606014945546,5.834723134688467e-4,0.001196333397095772,0.0034948795075556067,0.0016510842334170473,0.0026295550962340142,0.0026184928452607724,0.0030502627596375076,9.734845470410196e-4,0.0014224939206729757,0.0021209166061114935,0.00730140607167903,0.009101295035204958
