sample,H3N3,H3N3F1,H3N4,H3N4F1,H3N5,H3N5F1,H4N2,H4N3,H4N3S1,H4N3F1,H4N3F1S1,H4N4,H4N4S1,H4N4F1,H4N4F1S1,H4N5,H4N5S1,H4N5F1,H4N5F1S1,H5N2,H5N3,H5N3S1,H5N3F1S1,H5N4,H5N4S1,H5N4S2,H5N4F1,H5N4F1S1,H5N4F1S2,H5N4F2,H5N4F2S1,H5N5,H5N5S1,H5N5S2,H5N5F1,H5N5F1S1,H5N5F1S2,H6N2,H6N3,H6N3S1,H6N3F1S1,H6N4S1,H6N4S2,H6N5,H6N5S1,H6N5S2,H6N5S3,H6N5F1S1,H6N5F1S2,H6N5F1S3,H6N5F2S3,H6N6F1S1,H6N6F1S2,H7N2,H7N6S1,H7N6S2,H7N6S3,H7N6S4,H7N6F1S2,H7N6F1S3,H7N6F1S4,H8N2,H9N2
S658,9.796914143792772e-4,7.509444332368914e-4,5.139223152146394e-4,0.008289999013723992,0.0011745251721314773,0.0022222641870596306,2.3995262039089085e-4,0.0010624188994326294,0.006257203150532588,8.78406292915894e-4,0.0017332314685181954,0.0026953077435285357,0.004630062809319869,0.020823672113751582,0.003510621759414157,0.002053703377521612,0.003001167778106236,0.005593059408831082,0.0036433425719603505,0.004535231894482468,9.409997298591899e-4,0.0027582484955088037,0.0010111920180527448,0.007250617651834886,0.0801200728901383,0.4383131235647771,0.022044990696993387,0.05040223153673152,0.05444295669725776,6.133495259809463e-4,0.00011997631019544543,0.0020743129524479127,0.01341151149665133,0.0036930667422595837,0.005735080062979152,0.027324440087034243,0.025769331548809653,0.008418942177236547,9.668771908501682e-4,0.002956993868310667,8.866100145775842e-4,0.0031703658216957102,0.0029315394820128866,9.744368496335723e-4,0.00718646799047688,0.01498643921055876,0.08556710467121473,0.004309838971961438,0.004437976850105303,0.01422337221264791,3.338096701006609e-4,5.273555543632046e-4,5.89681688487901e-4,0.004498430492509511,5.02165211334875e-4,0.0026774396276037357,0.003659805216156978,0.005314925895982338,7.749307083597243e-4,7.59287020107085e-4,0.00104336927684246,0.00907605361218781,0.008611550282717614
S67,7.023052647363665e-4,8.593644973822454e-4,0.0011373479050026068,0.031020700862651466,0.006005568731342131,0.009065007970310072,2.231028566221314e-4,7.675373363636208e-4,0.005234649574148486,6.909508858285139e-4,0.001539260549294368,0.002514974565279729,0.005013430150761085,0.03711161804247645,0.005619656125710982,0.00614215415286173,0.008480427595182954,0.01700597275612867,0.0078035519942508715,0.005713665242431741,6.222924786065723e-4,0.003933477541749436,9.97343762419067e-4,0.004209720454410355,0.0633456633500618,0.3485645499313431,0.017117333835556667,0.05367988348821908,0.07316461025170805,1.115514283110657e-4,8.935360578934317e-4,0.002801387438589748,0.019936816761013644,0.004493331288632169,0.009936038656904095,0.04157653928435128,0.05328372122815083,0.005973195470064338,7.937812250430812e-4,0.0037755482341764114,9.410864453557453e-4,0.0016868730834545811,0.0012414677753044183,1.115514283110657e-4,0.0034195936603603878,0.005643234236995334,0.02950007627727196,0.004181084685574045,0.008080679650803828,0.05651007234836327,0.0033035679097305403,7.396747691118748e-4,0.0010162651641461452,0.0026064228924805753,7.849547616907739e-4,6.900812205005949e-4,6.71700312909475e-4,8.611693276812224e-4,9.790628365586428e-4,0.001231014773667105,0.0020071532325024407,0.005172976736014084,0.006758667245241456
S672,7.801873199662086e-4,6.724016034121033e-4,4.7623221023810903e-4,0.01230059364619743,8.004308700993455e-4,0.002101068044212464,1.5568474143302127e-4,9.85155548514289e-4,0.004094989213502801,7.733320167895488e-4,0.0012611798911222748,0.002257326738817973,0.0037782645689851267,0.03377157832359916,0.003738931517463065,0.0016755202666388007,0.0018750124295313988,0.006415819724789242,2.5799663806648114e-4,0.0036737589047559642,9.268888792100695e-4,0.00201200362865514,0.0018278373393324407,0.008468451274755123,0.06766924899709235,0.44739036430310386,0.027744569284478302,0.04506071730711587,0.05053480881303129,7.784237071651064e-5,0.0015166822373372676,0.0016918483940770222,0.00913872268914639,0.002563775524682536,0.006323779200483879,0.027468634539502008,0.019401329254232987,0.008218187798224098,7.218204956719233e-4,0.0024744556539297116,7.784237071651064e-5,0.0019016360944798505,0.0013336074986418152,0.0018749522604354556,0.0059694529818769,0.012161713552897161,0.06701805250536146,0.0035158387677655997,0.006017704044827908,0.043340758593234184,0.002164429813489362,5.697232971912297e-4,0.001199424400535443,0.0036783946583100724,4.1077171050804236e-4,0.002664049873391615,0.0033239277439680724,0.0050926826860648935,0.0013800530197645353,0.0019805721336188533,0.003801040282012537,0.008185897733473665,0.009260041774521275
S679,8.655042890068572e-4,7.097328174065675e-4,4.111614147367633e-4,0.006413725830054739,6.186963774318172e-4,0.001508694897351114,1.6331250150486865e-4,0.0010179697170011664,0.006031512171348432,7.513460035614158e-4,8.165625075243433e-5,0.0027577350398104343,0.004036770710765927,0.02700642334592395,0.004357813585356176,0.0014491792923239746,0.0016486667220450269,0.0052460005802890345,0.00271224127089315,0.0024091525788318626,6.925475895709375e-4,0.0023517337102211496,8.018373431676516e-4,0.0073213911407031705,0.05908315522748133,0.4847288646107955,0.02406565972658021,0.03447938856900493,0.04464809387352956,5.849846807073649e-4,0.0010396694044149642,0.0014560642166512236,0.008790239867153505,0.003453920898904575,0.0036503839968228926,0.015460647301370357,0.019591715069023186,0.005120623896122074,6.093168620707734e-4,0.002303763354155912,8.165625075243433e-5,8.165625075243433e-5,0.0027427252547154975,7.489718041785323e-4,0.0069275533636964075,0.01863497864621514,0.10643817252105446,0.0029452287637639824,0.00483786441850479,0.02959207656925613,0.001251544740482336,4.62876021941068e-4,7.98473463780267e-4,0.0022866267712818838,0.00073906796016752355,0.004070714546724595,0.004895170968226533,0.005754410862768654,0.0010629694364005537,0.0013930578932027607,0.0020599525282493005,0.005326598509293048,0.006436355719744614
S680,0.0011012197401373421,9.932496800563592e-4,7.334476642188661e-4,0.009261503557225456,0.0013661945981689996,0.0028048820912625902,2.80764721839201e-4,0.0013033147542573737,0.005948887234393509,9.923453024529058e-4,0.0014709529045178697,0.004121196261671509,0.0037476807276820324,0.03190946267779295,0.004171485627241072,0.002826987257424978,0.0027520165163098533,0.00807915371648221,0.0038256771277661657,0.003987497385822144,0.0011378547203189022,0.0024259993458511818,9.500124579194447e-4,0.009700364363142507,0.06574951057919466,0.40432378883480735,0.02891241457520314,0.04307151846502708,0.056526779254840544,1.403823609196005e-4,0.001983542823977939,0.0028370040664457566,0.013228996822466525,0.0036924289382320712,0.00683239237975278,0.030977665270369652,0.029191750988490733,0.007939437449796824,8.408464602418439e-4,0.0021406749431352053,1.403823609196005e-4,0.004952352929448921,0.00586571845458956,0.0016457920593181186,0.008473315795342242,0.015251718504013943,0.07045289595981816,0.004076295693182922,0.006526216378442141,0.039394653439676436,0.0016090134864769601,6.17794927948377e-4,1.403823609196005e-4,0.004001278679280888,1.403823609196005e-4,0.0026013868842896574,0.003256283167703592,0.004138833876586837,0.0011871352818300384,0.001761652141278237,0.0026876685535348367,0.008485599424370622,0.008311962633251574
S682,0.0012721340383818115,0.0010130996884693056,0.0011100653300981024,0.008529498620373556,7.772589431592342e-4,0.0022469708723847725,2.3820541612168094e-4,0.0012986861592101748,0.007706669474223514,0.0010469314739215856,1.1910270806084047e-4,0.0030949770693471726,0.004033908190207616,0.026976874386374385,0.0032753610136003262,0.0013754092262024886,0.0015059192870824423,0.004706703318715406,0.0029510828840262696,0.0022652215689967416,5.960016998819608e-4,0.0016075828343294545,6.564836626650012e-4,0.006883097108212071,0.07223889186131223,0.4715464056226029,0.02934847858953493,0.035631788377425616,0.04532236534228983,1.1910270806084047e-4,1.1910270806084047e-4,0.0014895367776620605,0.008776889023307394,0.0028841649497951738,0.0042590468964148805,0.016228566914690757,0.01616068945771513,0.005499205913575295,6.155382741453597e-4,0.0016680137418540032,7.807373295167418e-4,1.1910270806084047e-4,2.7961573720763634e-4,4.8084874360744274e-4,0.0074387453233363075,0.018866485619450528,0.10051649009145586,0.0029466108755289663,0.005129337908819913,0.02880726789622086,9.621775168814787e-4,1.1910270806084047e-4,1.1910270806084047e-4,0.002446511006022662,0.001341938263480504,0.003866055797722273,0.004706744410902029,0.004891957365689446,0.0010614405909155405,0.0013255107394334925,0.0017207769284409338,0.0059923803718903886,0.008886027226801265
S685,6.005431777470822e-4,9.831849649673597e-4,6.574429330967202e-4,0.020015476969963364,0.0022214596867283555,0.0056613968338653856,1.9759092954616873e-4,9.755631095775137e-4,0.0041267496032292815,0.0010100841472479836,0.0015315401726047088,0.002941820480970338,0.003722027533440814,0.05951183430814256,0.006478108430537609,0.0040487924546594575,0.004131354112231965,0.01867855205004219,0.006699068080290167,0.0070700605339338975,0.0013601171153781021,0.0037519646466974564,0.0013727638917332998,0.007367867821988753,0.05726728349218515,0.34305055307974364,0.04269339005017862,0.05987629335063444,0.05889275400169507,8.223516117808793e-4,0.0015430564548339907,0.003734562001583239,0.016596522692547775,0.003576297196120193,0.012129268750260465,0.04749721066564955,0.041274434381111724,0.010785995087562568,0.001215281346962509,0.004080235597463824,0.0021490204959529083,0.0028472806798321777,9.879546477308436e-5,0.0011768333819067518,0.004888343923641186,0.00815355260554174,0.028799174609898632,0.0050549475864346246,0.006795698088884449,0.034874919229642316,0.0023295692785859955,7.237330988425594e-4,9.88786565341245e-4,0.005021562725157092,9.879546477308436e-5,0.0010909151863728417,9.995840741623377e-4,0.0014221708362347164,0.0011754704544143894,0.0011696208244657202,0.001743484862119375,0.009888502949306708,0.008358383864781877
S687,8.412593094963499e-4,6.766014977308484e-4,6.205474239068274e-4,0.010475808058807929,9.115682668300759e-4,0.003044062560690456,2.2983101835899038e-4,0.001013797653856846,0.005712338106703453,8.821408286307849e-4,0.0013302971431649675,0.002425930418712508,0.0033987831253389006,0.02781141949501425,0.003226881378804502,0.001888547088240058,0.001386644930212979,0.009481408694583655,0.004212710220982539,0.006133623897459797,0.001168935062408044,0.003185043528053905,0.0011839232739932065,0.006829904950510668,0.05600604434517683,0.5062734048718306,0.025650981563780914,0.03567148503710413,0.03665739951325593,1.1491550917949519e-4,1.1491550917949519e-4,0.0019716917198107056,0.010289960327516622,0.0022023991766235737,0.008026809545334083,0.03441314735000087,0.014181197785806881,0.011089243916392393,9.453398481656236e-4,0.0034620801710281905,0.0014865253167762218,0.0019588862835297543,0.0017047857502588582,7.812508396821515e-4,0.005257154704604403,0.008886624321568582,0.04575501623446161,0.003728634810269731,0.005781978714637797,0.040376284092775855,0.0018469881541636126,1.1491550917949519e-4,1.1491550917949519e-4,0.0054675743645103804,1.1491550917949519e-4,0.001700932542016118,0.0017798317162736501,0.002218922547794295,0.001247290848024925,0.0016114429115238124,0.0023405535542389035,0.010397953131502826,0.01018359851116915
S690,0.0014468872277396641,0.0014924439652859983,0.0011639078557495366,0.01543070520243503,0.0013926496775764263,0.0033135274916358632,3.557101105862599e-4,0.001676911640552727,0.008376828048507997,0.0012590579673064197,1.7785505529312995e-4,0.0049888641312443435,0.006442834627254493,0.05006961366960309,0.004716178389579614,0.0030954721591247678,0.0026842305940086037,0.009022364618986558,1.7785505529312995e-4,0.0045635577565450395,0.0011278959533190644,0.0041765010676903256,0.0010003458735568884,0.009043835500923145,0.08842948621597375,0.40448364497482076,0.04001693370759118,0.046739398424720156,0.05173511533790296,1.7785505529312995e-4,0.0013381322005200673,0.002775683152699698,0.012843566988524586,0.003127469163212992,0.007432249238787082,0.02592782317744593,0.02382231644193732,0.007660538130004386,0.0010995387973018332,0.004606037612643199,0.001133401835248921,0.0025647049416490353,0.00226772296980911,6.739444407281391e-4,0.005490906217072078,0.010317686654192696,0.04516128945150874,0.0036648264480657086,0.005740484382000531,0.030903583020776483,0.0017710543032991445,5.005753610107501e-4,0.0010901909707445314,0.003071358172985506,7.660122824180158e-4,0.0017688351163909365,0.0018783119837891614,0.0024334290623432547,9.178589522523474e-4,0.0012344918488685019,0.0018249199849180854,0.006742745149761721,0.008669844190989406
S691,7.850458651940401e-4,7.79544717361845e-4,6.730208586170362e-4,0.018462257846722407,0.0012443250300930937,0.0033257025614605697,1.802594488141362e-4,9.992062712949287e-4,0.005179772806794957,7.783202893299029e-4,0.001312930714174866,0.0025006735284655375,0.004665081058822633,0.04312180079821021,0.004309794933349183,0.002444115269517861,0.0027912281620552817,0.006975998552547013,0.004281836430509146,0.0043727937503031155,7.676450104392014e-4,0.0029533809070767234,8.858688157522605e-4,0.005685855736398489,0.08146242999673668,0.43802051595044134,0.025671889241866388,0.0414329419379931,0.054796717018993316,6.395587230084364e-4,0.0010227125387865896,0.0022439379296321405,0.013036501932971829,0.002539225825210191,0.005407521121789879,0.02407885965419917,0.02154024177987851,0.008747004970687733,7.867081037680157e-4,0.00301475895939019,0.001090929772907979,9.01297244070681e-5,0.0023879255884089855,9.887036029455883e-4,0.006767538387537462,0.012232041689610998,0.05282079794048145,0.0034101420241954396,0.006187618066450103,0.03301730006641,0.001456647191713584,5.59139906119192e-4,6.649503849400169e-4,0.003602258160724258,0.001344491822558624,0.002138871968492854,0.0021718745900331455,0.0019966254562493705,0.0012162965014059215,0.001336558280573006,0.0014732940953652261,0.008488985731126763,0.01063889399868505
S694,5.71751728017576e-4,5.492883737717246e-4,8.889946138065831e-4,0.014747772917551529,0.001054822651404701,0.003160233663380439,1.563614697648095e-4,7.895583263901285e-4,0.0036086473421476067,5.847348521318694e-4,9.901316257194832e-4,0.0041311134768589495,0.0034421004646082447,0.03728038976370031,0.00376824841890951,0.001987237446017725,0.00205022825355848,0.006185262968050802,0.0034620465479338228,0.002993051123624761,7.790135254625521e-4,0.002270472330325713,0.0012842830882227865,0.00756875505717769,0.0540310507511424,0.4548340180809393,0.024687987182940782,0.034136253929205024,0.05478252171736528,7.947153116769167e-4,7.818073488240475e-5,0.0017479568679134225,0.011219656579845626,0.0026689945179139305,0.004123609299635783,0.018575008313033034,0.020605245617232003,0.007417250383968922,7.356960537109746e-4,0.0020231913157334547,7.818073488240475e-5,0.0025029969100260705,0.003420860507985418,0.0011960651740108982,0.004929947111323185,0.011483771690438307,0.08389243416006695,0.003004795597834117,0.004974758055608018,0.043562137629732295,0.002270863969039062,7.818073488240475e-5,0.0020764404866227405,0.0034438365939169395,7.818073488240475e-5,0.002503421665492368,0.003729731164951218,0.005942831076052113,9.92750942371739e-4,0.0016645650388828132,0.003160361894118464,0.007798928496633037,0.010448122944569881
