sample,H3N2F1,H3N3,H3N3F1,H3N4,H3N4F1,H3N5,H3N5F1,H3N5F3,H3N7,H4N2,H4N3,H4N3S1,H4N3F1,H4N3F1S1,H4N4,H4N4S1,H4N4F1,H4N4F1S1,H4N4F3S1,H4N5,H4N5S1,H4N5F1,H4N5F1S1,H4N6S1,H5N2,H5N3,H5N3S1,H5N3F1S1,H5N4,H5N4S1,H5N4S2,H5N4F1,H5N4F1S1,H5N4F1S2,H5N4F2,H5N4F2S1,H5N5,H5N5S1,H5N5S2,H5N5F1,H5N5F1S1,H5N5F1S2,H5N5F2,H6N2,H6N3,H6N3S1,H6N3F1S1,H6N4S1,H6N4S2,H6N4F1S1,H6N5,H6N5S1,H6N5S2,H6N5S3,H6N5F1,H6N5F1S1,H6N5F1S2,H6N5F1S3,H6N5F2S3,H6N6,H6N6F1S1,H6N6F1S2,H7N2,H7N6S1,H7N6S2,H7N6S3,H7N6S4,H7N6F1S2,H7N6F1S3,H7N6F1S4,H8N2,H9N2
S487,NA,4974.626964563795,7892.556105417922,10532.335693237541,272050.6367960754,26167.39630499631,51030.75865098369,NA,NA,1644.455326610964,5930.156271708247,27368.04655547332,6195.362638006706,12071.7926182846,38632.22449829018,24567.96367808348,277483.3933827775,40364.18072936378,NA,28399.05200065833,29171.8571941324,78176.4878293882,40976.34855901678,NA,37750.31473862885,7286.171139290477,24339.77981454525,9097.11307293406,50371.6293468974,299093.8382314037,1709746.860519313,137148.7633538551,373057.0064380373,417932.022320945,5746.565768569133,10095.06263946811,18023.52645360481,90785.32350588802,26147.24234847739,47839.26245517704,171379.8761320143,199883.0768541355,NA,53908.35847209024,6735.69025964861,28855.13566971254,7690.403574799859,NA,26016.40895207331,NA,NA,26433.1999466782,36800.2215479275,135045.4233098104,NA,31989.26123228543,78728.13540003954,248472.0260214091,25019.02790780343,NA,5083.211255026894,7513.515733090958,27987.50837781362,NA,6463.028297633236,3623.401063368507,4167.554723482684,10591.40849932579,12131.64681196765,13341.39260455247,50738.06187348992,36267.69370191563
S492,NA,5695.394131727469,6501.26935774878,23085.54684219716,220275.4063464504,27779.57454000947,55807.81369294014,NA,NA,1787.117127100347,7603.361637279499,33729.98899105204,6790.909978234535,13197.67546505031,43569.5305539507,31844.64633749564,249664.756195851,36146.11348756394,NA,40855.69243580291,44663.89941412591,95738.71125275338,50843.60203887713,NA,50680.94109630189,9543.245108518668,25402.17930482999,11418.78546079085,61400.91053513924,437689.5894148386,2313578.463178625,145296.1264225333,330454.9727287894,371940.2210849908,NA,9138.992286441442,29351.30456024999,140002.9481958899,27438.74118234903,73078.10327237225,254743.1048737721,257619.4524080316,10418.76771022116,83503.8115423979,7621.603731281638,26210.4470001474,29884.16124705671,26906.84842042461,25545.90008688133,NA,NA,49918.15037919068,73759.41988596844,246100.8804671904,NA,34896.42445864755,80062.24589791782,264729.4273878101,17217.54736688168,NA,6375.212662512808,9983.74011288,38859.83488503112,7345.210780656636,12849.99970537362,10649.03931495172,11303.93463885015,13402.33108893167,14927.18412831941,15883.03709542281,58163.60459185945,52745.62432184834
S493,NA,NA,2066.749292214989,1986.446354792182,46665.33015910906,4376.774536775101,10589.55718484743,NA,NA,612.461672760445,2590.879751049507,17757.26587709718,2324.648021919825,4166.391626692032,11179.04788025248,14204.48614035804,128970.385369327,20621.19099630034,NA,8744.099153775765,10723.03463799614,26220.9467320858,15222.28661473265,NA,14231.46612244741,2752.274194089604,10043.57466691116,NA,22570.54037219437,256466.1702569541,1764294.329837054,92585.53591411668,169948.508353109,189610.0170856648,NA,4931.924555302244,11181.54648904911,72014.35613586147,11018.09181879656,18431.17860155048,66867.44983113374,80772.61847140561,NA,25845.91791523937,3006.730645994066,13436.77804850829,1738.01355454726,NA,9912.93867432308,NA,4978.159679515723,18056.52038931632,30988.62520635104,161170.4092333486,NA,10774.43834673608,22262.34725802089,145594.2712480743,6484.997311548482,NA,NA,5740.653074201045,12370.11007440034,704.3737037331467,5653.860737102958,5632.16308362422,8100.918802068535,3545.358933463845,5079.116705481357,8136.674662266641,23049.5595097176,28323.00551288256
S494,NA,3783.211700122509,6782.645071273801,9010.136791659264,164504.8487346561,20982.53363668469,60627.35679369063,NA,4609.506171810468,1158.007175798642,4521.521375423996,28924.06441428304,6212.641279496896,8772.05565097921,29845.61208069369,19567.44254032462,303514.6859550031,43916.13140798666,NA,27328.15046578402,27726.08668210565,117082.2084406575,46396.54896418113,NA,23010.4131600675,4394.659163880713,18744.77304674278,7348.749878343899,43824.30194540105,232683.8464390461,2051260.576432858,178401.7212981671,342771.2093679168,364673.2408517156,NA,9757.026595587926,19698.63317676174,95395.9878939612,24631.92471505752,51588.38964483416,159292.7531849393,199332.8739414685,5905.25577722832,34281.1932366773,5748.492016748291,22367.29101444594,4426.718046138424,19424.64707312196,14686.39200509475,NA,NA,29981.72093273054,42345.63891493295,159696.8235941548,NA,36002.62797057863,80174.78032729434,277175.3865808277,26278.32488823142,NA,4725.370296290665,8420.569873924424,19601.14484247166,3590.272137988286,6423.347753748987,4086.588577445118,3920.762134819024,10404.64185015694,11031.2019388733,12297.56551162373,33007.4822194662,35485.91192321239
S496,NA,3396.072961706179,3678.589173078575,4895.442470513012,75381.52976753197,5134.220660685975,18489.76564460237,NA,NA,726.5301049831415,4436.676756031108,26763.6186986275,4033.214579036349,6334.205551470181,21053.89645963636,21260.29236403646,214004.2151982431,22111.31364765984,NA,13412.00723550013,11463.05736980209,52990.32801501104,22071.97663995767,NA,20575.6077116598,4336.057452426344,13606.3242729718,6866.261138429579,42189.56317942343,385608.7848525764,2707580.025535764,149186.5696985321,234864.0197358632,312736.1138133797,3581.845357292542,7308.015840490266,15656.976718722,76884.48466036418,19236.98903540336,41846.49639904014,142398.2220419944,102668.731062929,NA,45726.75307003096,4723.475950927095,14890.47260692178,5430.325818676737,17022.31244640513,18687.53200176607,NA,NA,48102.51589974764,101367.7237278551,541103.1402494623,NA,17739.20509812488,28705.72090984862,171207.0855570679,8180.164628421756,NA,2810.562537356287,3347.41733330583,19476.69169370814,4076.488386411131,17102.40690745296,19999.90584437921,23512.94387334378,5176.243489720947,6081.853637217453,8316.983848328488,35706.1019628426,51367.37630391122
S5,NA,1483.945003447549,1814.04188818396,964.3698033252304,35018.0455028334,2202.762494896562,6357.278954599585,NA,NA,398.7928741213585,2156.144602790509,11453.23645761131,2050.545832873077,2888.923392160838,4578.213798049571,10411.56579970533,116201.4774296268,11814.25858364217,NA,4446.14003307194,4788.945393282967,20040.39334693348,9207.471392497066,NA,14688.26497452031,2488.32513210905,5449.688758252621,2477.506832779014,11902.52165587453,218319.6882920412,1267365.474091889,110457.6275505013,142688.3016766692,129972.7181532275,1760.690233643159,4306.770380468331,5302.057267971945,34421.60443873084,5717.184458113788,14464.72895404357,60737.57462266878,49577.58577791012,NA,25866.43719145828,1736.08359032252,6264.054712626375,1492.372585116997,NA,2977.30200904701,NA,1912.377524554615,19020.52880891735,35777.07846498414,187140.54066775,NA,6306.560389668457,7658.665632589453,37331.30334052454,988.2636329177436,NA,785.3802627968876,1447.602457204087,9045.00793382548,1169.935380504681,6686.582985287937,6843.456017949314,7699.41838607897,1255.469366574422,1510.127553195972,2096.630499611048,17999.8311524511,22893.57426519463
S501,NA,2995.103435836766,3137.303873554196,2985.593964567399,75126.03329006571,7829.959561026273,12967.41200783848,4338.353807460345,NA,829.0007379720151,3825.847795097625,32577.02336650417,3470.537188674235,9292.9985014054,12047.56886568129,28096.01674040082,184563.7011786077,31219.01708166519,NA,14871.84611281687,24047.26576835074,36697.6082054702,30969.83274135001,NA,25060.36266332743,4705.837596243871,12752.83503550237,7355.325772627087,24332.47625818848,383745.2810580596,3386279.812183768,104559.0239029371,233105.1517349757,426123.6446364544,NA,7840.598592625829,13310.00219920536,108301.6487810731,31192.84581438505,25841.00914183158,171781.676347874,203099.951288692,3891.818885709713,47856.228806389,3246.277815035127,13362.36825910237,4921.181557518922,NA,15713.91075561621,NA,3682.289639880617,47026.90669630634,96371.79420915643,661224.5320117678,NA,22374.75212400122,54700.48462810081,446576.0440042964,20221.43705230221,NA,4802.952281434497,9420.98441726768,18820.4888270983,4149.957553552971,24651.048517081,37910.04889807614,64378.83511282277,13485.08149971799,24902.85139700224,52576.93171212178,37562.83298048311,39184.58715406506
S508,NA,3042.705467459924,2627.810928833811,2563.872298644605,41202.13161126459,3660.586857061796,9587.825295039089,3588.826098604719,NA,640.9495245850443,3433.02806295079,28295.6637397798,2826.179769022322,7626.323723251659,11690.33769102083,23003.03057509012,131940.1163777475,21954.00371398167,NA,8228.098482792051,11526.92054819158,26617.38996903452,18306.00582301,NA,12273.81655880801,1952.173258341244,10603.40527110966,8199.897101182729,23017.02444467467,383086.4366533196,2484048.693562462,94641.09792944392,183983.5329339519,292226.6122552882,NA,4505.787950292989,10480.50974397851,66891.9473474397,15941.86390796491,17998.56695630484,70189.99074788069,89057.99863882738,NA,30298.53302292558,2117.816576219713,11664.67633246918,2603.026766146791,21360.20260691533,19185.0791155111,NA,4177.976150513081,34353.01403459119,77531.13997231337,551194.0725082688,NA,12312.59040605495,36286.29094832723,374965.0290088799,20862.24764226775,NA,NA,8432.606990777023,13391.26293237977,NA,21121.83743877097,31292.09275018668,59968.2873897063,8450.029758942508,17756.08406938549,42139.71469493806,27115.06274674426,42477.09440627431
S509,NA,5733.225977690648,3862.424667671936,6915.415443464467,102624.8775339055,27867.98175739963,34300.3526996311,NA,NA,1262.323554572901,5856.628165800469,46217.48403152964,4109.37669817176,12802.86872206483,17869.40250765548,39671.46210126005,118655.1804182181,21656.94763717443,NA,26627.86423088494,33105.59080516375,70956.4401667832,60333.41969973134,NA,24313.33061514786,5290.893417399412,17029.38491681441,8404.218769154419,30949.92791736205,464121.2513134464,3190180.846273715,70578.20909299757,217979.1521771817,356832.7966665343,4588.808200647162,8133.567602567088,16425.87962689657,92517.36734517643,23111.86805723252,46546.15342768573,196147.603360233,175790.8885245406,NA,50122.00047903285,4582.023671265571,20205.51649123687,5998.664940212293,NA,16953.51332470098,NA,8996.223983922717,51108.93287672394,93023.54367514137,504710.9266237922,NA,27754.21867011046,96113.00884557732,543771.7541935146,35053.86023699156,NA,5725.611564792453,8141.375784233156,30294.4898429989,10800.42017910148,21890.68800197724,24730.30453561453,29429.92139385602,22286.33841773602,32079.40120373875,45996.53094620374,51840.21639654104,44047.97199277265
S510,NA,5479.71174430854,4049.989560211353,3049.074873120781,40394.68726471916,5531.885412153109,9229.144488804252,NA,NA,1014.987949877015,6059.460200982288,47637.73770158423,4485.505121185422,8468.355123436952,15499.29117363681,32670.60081507689,156460.0569069893,25626.59684402561,NA,10580.70397668715,12372.84186305751,31521.9677469333,NA,NA,20649.45349374569,4048.128628385938,16836.95439317627,10785.30978411218,42166.39981117798,512136.5216595327,4023278.317773464,155703.0560003748,262957.242922614,483614.381905654,6198.53779023831,11428.3288315785,12615.27821128452,89781.09086444501,19081.50354002519,25797.03783947884,80791.538307734,97716.10957524604,6042.536744013718,45784.62661597844,3659.594824523642,18031.25854362279,1149.88582415534,NA,27323.55351462891,NA,7676.118016659674,38890.47487649503,85279.14952136284,498598.6224322033,NA,19623.07073641852,73019.25984043523,705341.1653033186,43927.1432235901,NA,NA,10521.50202687571,18063.41835792029,NA,14447.85458798048,17154.47961264736,30759.06859767611,13599.05423275788,22306.23001665337,47481.60858650225,40446.02663656836,56087.73935271126
S514,NA,1927.712487748241,2040.052862608776,2661.851876411858,52874.3047188233,3783.382163443466,10338.2062512999,NA,NA,722.8198394507543,2632.989741046983,20032.97123852906,2308.953712767749,5437.519166211532,11936.57826019438,12153.21799871418,130107.4328828293,16015.85234713806,NA,8433.510927123698,8716.153557207828,26203.08854322888,16667.15889779059,NA,19046.89230585227,2648.883359792538,10315.91710806695,9760.379287088464,25401.40841143826,161548.8477216804,2161412.6771772588,73333.81472161252,136413.423550937,207062.3443446512,2787.056133425968,NA,7214.490118718062,71989.77310068303,10340.96331107759,17058.45366141129,61929.50165593094,55075.01018875678,2798.789705615317,45498.30055654606,2727.855259531002,12461.31442324181,3667.910937796079,13796.42402056265,16647.55626724745,NA,NA,26440.32106980877,45067.5135858112,304619.6836179431,NA,10529.5502354105,32911.09551001624,312926.8407478427,17268.5413240874,NA,NA,11969.30004533308,18989.84795350983,NA,10323.64161478165,14684.99651996846,26085.76325523668,8102.825801779618,15197.97769788462,30997.78697189156,37674.18130230423,51458.2789509595
S516,NA,4251.159051401962,4863.243363031564,4821.809645485423,137725.1092775548,9311.77736493992,30089.67805624307,NA,NA,1025.75986066385,5302.167725815334,33313.33768875366,4897.037018049596,7364.074537396859,25251.4152408845,29458.30237633925,252795.3980316118,23903.19427309411,NA,16570.63091585348,10828.3131040941,49266.77009476798,27385.1890195017,NA,25269.33728153842,4860.140758133326,14311.69942900123,8124.909283999169,48138.12640239491,390713.9930173634,2765762.044250454,144738.3224743907,235699.349775952,287662.4020104067,3522.882484300981,NA,14395.10208489077,78856.95766259238,16793.34529828129,28412.42377957912,104933.1593849698,86351.47647408654,5077.194343035889,52902.63084291189,5140.451450246868,11942.96246189896,2812.062268507612,24545.01323686768,21671.99735525736,NA,7343.665242447957,44264.04975293342,91629.50727697944,472332.6832517851,NA,16585.6369078375,23135.22880387006,136040.0798167771,5342.276203115151,NA,NA,2322.441054357249,17504.78126805878,3311.477380970468,18733.838376889,21926.36244843656,29452.798318030465,4563.760052149678,6021.770001730707,10559.1004340365,35067.13137807598,37651.90934350404
S522,NA,5708.220196946872,3001.687363590615,1714.539739271092,10791.45437241804,2135.912858619151,3951.927838102134,NA,NA,1051.578777029762,5265.161598936208,44929.23388773117,3650.178978553242,NA,8605.823833306198,23700.51074044606,58789.99945292237,12885.77370910513,NA,5711.484112775127,8103.067001854224,18351.88904499237,14757.29983904679,NA,11176.74219347909,2181.398856852283,11590.72873647941,5420.842422271627,25125.96843214659,323093.8995933753,2488790.747227915,94036.68220008053,182872.655288834,209709.477866871,3874.02753990956,NA,8971.070243214957,60298.9435632773,14269.34371408039,19390.75312005289,66393.05673275997,79330.05649688956,NA,21182.7510791758,2110.895829501639,13177.28515995543,3179.111373063529,21344.36962291,17336.83320574029,NA,5914.273176417738,36526.53114475697,75186.77044674224,367409.04901091,NA,15309.22828553693,57207.47612868428,439686.7316310907,18032.71796661269,NA,3007.37110414026,9318.772763088027,11186.5015719082,6875.641648493748,17041.35903840808,20357.6622316541,28084.55391358195,13645.87275531743,24170.55790933966,41143.19122712035,26396.72967978954,26173.38281871152
S53,NA,1418.833522742579,1933.53241298439,2697.850801425302,111737.8229960066,3471.608795042802,10029.0128761638,1192.075331560751,NA,381.2409435476675,1722.728505612435,14303.45680085747,1409.331120116473,3097.458865154119,7217.124402478696,12644.26240171854,136464.2233719046,10311.35455269947,NA,5307.436238368383,4907.483203658796,21225.52657624155,10727.85520150666,NA,11314.06972720604,1089.359698434073,5340.0453802024585,1592.659906036258,8205.752423248337,144067.8205698986,1178159.724520215,52787.92022019591,92136.9530669983,117424.4030049035,NA,NA,3377.455322156368,19369.47980757452,5500.703849905389,10049.80181292,46741.58720660595,36743.33372356147,NA,12006.63495122998,1033.458281924362,4851.83685312977,1139.172063426082,NA,3198.903801184371,NA,1213.380978563697,12867.78388799289,26178.81212888578,188958.4006714293,NA,4981.79504700909,7114.73339432652,50994.39013079467,1447.196395340683,NA,499.5011196670793,863.3330287516692,4595.073604309732,981.4073400295172,5994.545187017248,8388.65983651339,14891.45693810228,1770.434977179254,2545.119142369554,5311.943489526371,8439.694164649185,9546.4111983636285
